,COVID-19 doses (daily),Daily new confirmed deaths due to COVID-19
556,514150.392825,25582.253999999997
558,514150.392825,28347.904
564,514150.392825,16593.894
568,514150.392825,42176.15
572,514150.392825,48398.86
575,514150.392825,20050.956000000002
576,514150.392825,49781.684
586,514150.392825,7605.535
590,514150.392825,17976.72
594,514150.392825,72598.286
599,514150.392825,26273.666
612,514150.392825,10371.184000000001
614,514150.392825,2765.6492
615,514150.392825,50473.098
616,514150.392825,2074.2367
622,514150.392825,35953.44
631,514150.392825,67758.4
642,514150.392825,0.0
649,514150.392825,691.4123
671,514150.392825,4148.4735
731,514150.392825,22816.606
744,514150.392825,60152.869999999995
783,445386.28,8988.36
784,445873.06,6222.7105
785,445291.47,2765.6492
786,445291.47,0.0
787,445291.47,14519.658
788,445291.47,3457.0615000000003
789,445291.47,6222.7105
790,432248.53,13136.833
791,432248.53,1382.8246
792,432237.88,1382.8246
794,432237.88,0.0
795,432237.88,2765.6492
796,432237.88,2074.2367
825,435970.03,3457.0615000000003
826,435970.03,691.4123
827,435821.25,0.0
828,435821.25,691.4123
830,435821.25,5531.2985
831,435821.25,1382.8246
860,422603.2,2074.2367
861,422603.2,0.0
862,422511.75,0.0
863,422511.75,1382.8246
864,422511.75,691.4123
867,381017.66,5531.2985
868,381017.66,0.0
869,381026.94,0.0
870,381026.94,691.4123
872,381026.94,9679.771999999999
874,336260.44,7605.535
875,336260.44,0.0
876,336230.56,0.0
877,336230.56,691.4123
879,336230.56,2074.2367
881,462634.84,9679.771999999999
882,462634.84,0.0
883,432249.3,0.0
886,432249.3,1382.8246
887,432249.3,691.4123
888,458349.94,11062.597
889,458349.94,0.0
890,458349.94,691.4123
891,458232.78,691.4123
892,458232.78,0.0
916,393683.88,6222.7105
917,393683.88,0.0
918,393633.47,0.0
923,367582.53,3457.0615000000003
924,367582.53,0.0
925,367571.8,0.0
926,367571.8,691.4123
930,366523.8,6914.1230000000005
931,366523.8,0.0
932,366513.94,0.0
934,366513.94,691.4123
935,366513.94,1382.8246
937,265129.88,4839.8859999999995
938,265129.88,0.0
939,282108.44,0.0
941,282108.44,1382.8246
944,251110.22,2074.2367
945,251110.22,0.0
951,215791.53,2765.6492
952,215791.53,0.0
963,215791.53,1382.8246
964,215791.53,691.4123
965,214715.67,691.4123
966,214715.67,0.0
972,163653.22,0.0
974,150723.16,0.0
977,150723.16,691.4123
979,150465.92,691.4123
980,150465.92,0.0
986,162074.83,0.0
987,162074.83,4839.8859999999995
993,176626.97,0.0
994,176626.97,691.4123
998,176626.97,1382.8246
1000,173846.7,0.0
1005,173846.7,1382.8246
1007,173832.6,0.0
1014,170591.48,0.0
1020,170591.48,691.4123
1021,157883.52,0.0
1022,157883.52,1382.8246
1028,190984.67,0.0
1029,190984.67,2074.2367
1035,155201.5,0.0
1036,155201.5,1382.8246
1042,82982.055,6222.7105
1043,82982.055,0.0
1049,85272.14,691.4123
1050,85272.14,0.0
1056,83187.32,691.4123
1057,83187.32,0.0
